id1  id2
7955 7378
7953 6577
7953 7747
7953 7807
7951 1
7950 6757
7948 5469
7939 2348
7939 3816
7938 4399
7916 398
7916 7050
7905 7822
7886 4650
7886 6724
7872 6915
7872 7348
7865 2789
7865 7581
7864 3101
7864 7564
7863 1970
7863 6178
7863 6965
7862 3356
7858 6286
7857 4178
7857 4779
7857 4981
7857 7415
7855 5180
7840 2764
7840 5651
7830 7568
7827 3733
7822 1513
7822 7905
7814 5013
7814 6102
7814 6527
7811 6991
7807 6576
7807 6652
7807 7733
7807 7953
7806 4115
7797 1968
7792 6018
7786 3166
7785 1
7784 6088
7782 6596
7782 6738
7777 4134
7776 3204
7766 1325
7762 5489
7759 4767
7759 4808
7758 4718
7753 7234
7750 5627
7750 6508
7747 5660
7747 7953
7744 5032
7743 6222
7743 7051
7741 6357
7740 6334
7740 7038
7733 39
7733 7807
7728 7475
7713 5477
7712 95
7712 6932
7709 6670
7705 1
7697 7228
7695 1988
7695 5007
7695 6930
7689 4593
7689 6550
7687 6469
7687 6923
7686 7475
7685 3449
7685 4090
7682 5802
7678 2102
7674 2910
7657 638
7655 4132
7653 7469
7652 1702
7652 5469
7633 3956
7631 6565
7630 4178
7627 7588
7625 1957
7624 1602
7617 4909
7617 4915
7615 2032
7615 2726
7606 1946
7606 4970
7603 417
7603 429
7603 446
7603 491
7603 1472
7601 1476
7601 1506
7601 4209
7601 5132
7599 2002
7599 2030
7599 3640
7599 4117
7599 4952
7599 5135
7599 6764
7588 3660
7588 7627
7587 6469
7581 5333
7581 7865
7580 4766
7573 4524
7571 922
7571 1198
7568 19
7568 1416
7568 7830
7566 3411
7564 7369
7564 7543
7564 7864
7563 6581
7562 3294
7562 3845
7561 6643
7557 1797
7556 1107
7556 6088
7553 6649
7551 2908
7550 577
7550 6549
7549 5368
7549 5652
7543 7564
7540 1529
7540 5414
7531 6884
7527 6497
7523 4090
7523 4762
7523 4950
7518 5872
7518 7136
7501 1957
7491 1702
7489 1610
7489 6848
7488 4353
7488 4376
7488 4613
7488 5397
7487 7365
7487 7470
7486 6991
7483 2823
7481 4977
7475 7728
7475 7686
7472 3403
7470 3101
7470 7351
7470 7487
7469 4366
7469 7653
7466 2725
7466 4966
7463 6146
7457 6146
7452 5236
7435 2306
7435 3132
7435 6331
7435 7423
7430 835
7423 7435
7415 4783
7415 7260
7415 7857
7414 1234
7413 5652
7413 7045
7412 4117
7409 1416
7402 875
7388 7025
7380 389
7380 2062
7380 6714
7378 5790
7378 7955
7375 7285
7370 523
7369 2304
7369 5451
7369 7564
7368 1936
7365 7487
7357 5858
7355 3408
7355 6459
7353 7335
7352 7318
7351 7470
7348 7872
7343 5028
7343 5114
7341 1236
7337 6504
7335 2089
7335 7353
7320 5028
7318 4201
7318 7352
7316 6473
7314 7117
7314 7175
7307 5250
7307 6717
7307 7224
7306 7073
7305 203
7305 1826
7305 6349
7302 5236
7301 3511
7294 6149
7285 6708
7285 7375
7283 944
7283 6800
7275 3042
7275 3081
7275 6317
7275 6480
7270 1943
7270 4784
7265 1395
7265 5872
7261 6290
7260 7415
7256 1696
7256 1702
7255 4870
7254 2997
7251 6025
7248 2999
7237 746
7235 6330
7234 3844
7234 5107
7234 6286
7234 7753
7233 6527
7232 426
7231 637
7228 3940
7228 7697
7225 6643
7225 7129
7224 7307
7213 6581
7211 5013
7211 5285
7205 5368
7200 4193
7194 5124
7187 5267
7181 3940
7181 6147
7180 5528
7180 5651
7175 5157
7175 7314
7174 148
7173 4788
7173 5942
7173 7087
7170 6233
7169 5451
7165 757
7165 4493
7165 4550
7163 5114
7155 5087
7154 5858
7149 4094
7149 5465
7145 5570
7136 6000
7136 7518
7133 4970
7133 6411
7130 3132
7129 7225
7126 3419
7117 7314
7113 2361
7113 4015
7107 3895
7105 77
7105 3101
7105 6278
7103 2551
7101 6717
7099 679
7093 5949
7093 6882
7090 6134
7090 6981
7088 6601
7087 5550
7087 7173
7083 2777
7081 388
7080 6480
7075 6651
7073 5180
7073 7306
7068 1978
7068 5135
7051 7743
7050 7916
7047 5872
7045 7413
7044 2947
7042 2910
7038 5278
7038 7740
7025 5281
7025 7388
7019 4624
7019 6035
7019 6389
7018 4550
7012 2780
7011 5330
7006 4601
7006 6294
7003 1989
6998 6567
6998 6602
6997 6549
6991 4562
6991 7811
6991 7486
6983 2559
6983 5211
6981 7090
6979 5319
6979 6651
6965 5012
6965 7863
6961 4638
6958 2777
6958 5666
6954 1637
6954 1664
6954 2711
6954 2794
6954 5101
6945 4589
6945 6074
6942 2979
6942 5526
6942 6413
6938 573
6938 767
6934 5845
6933 2753
6932 6567
6932 7712
6930 3633
6930 5876
6930 7695
6923 7687
6921 6015
6921 6018
6915 6643
6915 7872
6902 1652
6884 7531
6882 1671
6882 5551
6882 7093
6873 2015
6873 3616
6867 3403
6867 3784
6852 2103
6852 4713
6848 7489
6845 3167
6839 3654
6839 5528
6832 4352
6831 2639
6831 5179
6828 2052
6823 4624
6823 6697
6811 3755
6809 6147
6808 2573
6808 4495
6808 6549
6802 3924
6801 6229
6800 7283
6791 6042
6790 359
6783 4433
6777 4722
6769 3421
6769 3953
6769 6454
6764 3673
6764 5092
6764 7599
6757 7950
6753 1078
6753 5790
6741 4601
6741 5791
6740 6651
6739 417
6738 2089
6738 7782
6730 3849
6727 398
6724 4603
6724 4831
6724 4870
6724 7886
6721 5249
6717 2779
6717 4105
6717 7307
6717 7101
6715 2050
6715 4158
6715 6398
6714 7380
6708 746
6708 800
6708 4502
6708 7285
6700 634
6700 6508
6697 5271
6697 5779
6697 6823
6670 2908
6670 3468
6670 5236
6670 7709
6668 4918
6652 7807
6651 5563
6651 7075
6651 6979
6651 6740
6649 4795
6649 5190
6649 7553
6646 3755
6643 7561
6643 7225
6643 6915
6634 4435
6634 4441
6632 1038
6620 1864
6614 4193
6613 4766
6613 6249
6602 6998
6601 4550
6601 7088
6596 7782
6594 5944
6594 6432
6591 3870
6590 978
6586 5079
6581 1642
6581 7563
6581 7213
6577 7953
6576 7807
6574 5106
6574 5786
6569 6129
6567 6460
6567 6998
6567 6932
6565 1946
6565 7631
6550 7689
6549 7550
6549 6997
6549 6808
6548 3405
6548 6093
6531 2004
6531 2006
6531 5859
6527 7814
6527 7233
6525 978
6508 1529
6508 1610
6508 7750
6508 6700
6507 3505
6505 6481
6504 2716
6504 4143
6504 7337
6498 4910
6497 4609
6497 4624
6497 7527
6485 5680
6481 3817
6481 6505
6480 7275
6480 7080
6473 5179
6473 5897
6473 7316
6469 6088
6469 7687
6469 7587
6464 5249
6464 5478
6460 1416
6460 5719
6460 6567
6459 7355
6454 6769
6443 3673
6435 5406
6432 3732
6432 6594
6418 1429
6418 3123
6418 4213
6418 4289
6413 3597
6413 6942
6412 3505
6412 5668
6411 7133
6409 1248
6409 6180
6407 4742
6407 4808
6400 3730
6398 2781
6398 4104
6398 6715
6394 4168
6392 5454
6389 7019
6387 2579
6387 5938
6386 4120
6386 5101
6386 6280
6357 7741
6349 7305
6346 2016
6346 2052
6334 5899
6334 7740
6331 7435
6330 3924
6330 6223
6330 7235
6320 3864
6320 3870
6317 7275
6315 6279
6307 6196
6294 5474
6294 5996
6294 7006
6292 388
6292 2089
6292 2105
6290 400
6290 7261
6286 7858
6286 7234
6285 3693
6284 1337
6284 5858
6282 1561
6282 1579
6282 5127
6280 2789
6280 2790
6280 6386
6279 6315
6278 5982
6278 7105
6254 4366
6249 1992
6249 5190
6249 6613
6234 5381
6234 5979
6233 174
6233 7170
6229 738
6229 765
6229 812
6229 6801
6223 2359
6223 6330
6222 2549
6222 7743
6206 5451
6205 3631
6198 4824
6198 6035
6196 4966
6196 6307
6190 4091
6180 6409
6178 7863
6174 4275
6169 3629
6169 4708
6166 2005
6166 5007
6150 3335
6149 50
6149 7294
6147 3927
6147 7181
6147 6809
6146 4108
6146 4135
6146 5551
6146 7463
6146 7457
6138 6042
6134 2175
6134 2183
6134 7090
6129 3319
6129 6569
6125 4558
6124 3652
6124 4768
6112 1236
6112 1288
6102 1960
6102 4729
6102 7814
6093 4903
6093 6548
6088 5351
6088 7784
6088 7556
6088 6469
6086 2102
6086 2761
6086 2780
6086 5019
6084 796
6080 350
6076 2686
6074 6945
6069 5570
6069 5931
6047 3580
6047 5526
6042 4246
6042 6791
6042 6138
6035 7019
6035 6198
6025 4423
6025 7251
6019 5132
6018 7792
6018 6921
6017 2763
6017 4966
6015 6921
6000 7136
5997 1455
5996 6294
5982 4291
5982 6278
5979 3634
5979 6234
5968 628
5949 4139
5949 5083
5949 7093
5944 3369
5944 6594
5942 4708
5942 7173
5940 1890
5938 5311
5938 5777
5938 5786
5938 6387
5931 6069
5914 1236
5914 1312
5914 5845
5908 320
5908 4117
5908 5817
5904 132
5899 6334
5898 1236
5897 6473
5893 1931
5892 1576
5883 4584
5881 4140
5876 6930
5874 993
5873 4502
5872 947
5872 7518
5872 7265
5872 7047
5869 4120
5862 1459
5859 6531
5858 49
5858 7357
5858 7154
5858 6284
5853 4903
5845 6934
5845 5914
5817 5908
5805 3405
5805 4607
5802 4375
5802 7682
5799 4903
5799 5079
5792 4352
5792 4384
5791 6741
5790 7378
5790 6753
5786 4524
5786 5489
5786 6574
5786 5938
5780 2093
5779 6697
5777 2266
5777 5938
5770 947
5758 5032
5755 767
5755 4589
5753 1984
5746 4156
5740 2686
5735 5250
5731 5443
5725 4344
5725 4613
5719 6460
5682 3836
5682 5087
5682 5208
5680 6485
5668 6412
5666 3636
5666 4120
5666 6958
5665 2559
5660 7747
5652 7549
5652 7413
5651 1968
5651 4143
5651 7840
5651 7180
5634 621
5627 7750
5624 3126
5581 2808
5575 1988
5570 7145
5570 6069
5567 4495
5563 1602
5563 6651
5551 6882
5551 6146
5550 7087
5549 1921
5548 1952
5548 4969
5538 3534
5538 5526
5535 5173
5528 2127
5528 7180
5528 6839
5527 1271
5527 1862
5527 3808
5526 5267
5526 6942
5526 6047
5526 5538
5517 5412
5514 2746
5513 188
5489 7762
5489 5786
5478 6464
5477 5019
5477 7713
5474 4638
5474 6294
5469 3956
5469 3978
5469 7948
5469 7652
5465 7149
5459 2348
5459 5412
5454 3669
5454 6392
5451 7369
5451 7169
5451 6206
5447 800
5447 4562
5444 4950
5443 2788
5443 5731
5436 1733
5436 1797
5414 7540
5412 5517
5412 5459
5410 4737
5406 5083
5406 6435
5403 1513
5397 7488
5387 2779
5381 6234
5376 728
5376 734
5374 4070
5369 4123
5369 4945
5368 7549
5368 7205
5359 4494
5351 6088
5347 2874
5333 7581
5330 4375
5330 7011
5321 3619
5319 1573
5319 6979
5311 5938
5309 4717
5285 7211
5281 7025
5278 7038
5271 6697
5270 1854
5267 7187
5267 5526
5253 1926
5250 1650
5250 7307
5250 5735
5249 1732
5249 1745
5249 6721
5249 6464
5236 7452
5236 7302
5236 6670
5235 4741
5211 6983
5208 5682
5206 4708
5200 4109
5190 6649
5190 6249
5186 4745
5182 2876
5180 174
5180 7855
5180 7073
5179 6831
5179 6473
5177 689
5173 3637
5173 5535
5158 3870
5157 7175
5156 3534
5138 1548
5135 7599
5135 7068
5132 7601
5132 6019
5127 1591
5127 6282
5124 3237
5124 3596
5124 7194
5117 4401
5114 2000
5114 4737
5114 4745
5114 4779
5114 7343
5114 7163
5112 1264
5111 4929
5111 5028
5107 7234
5106 4514
5106 6574
5101 2099
5101 2121
5101 2747
5101 6954
5101 6386
5092 6764
5087 7155
5087 5682
5083 5949
5083 5406
5079 6586
5079 5799
5072 4756
5072 4964
5051 188
5038 2753
5038 2808
5036 4143
5032 7744
5032 5758
5028 4977
5028 7343
5028 7320
5028 5111
5025 2048
5020 2093
5019 2808
5019 4094
5019 4134
5019 6086
5019 5477
5015 4116
5013 7814
5013 7211
5012 6965
5007 4936
5007 7695
5007 6166
4991 4945
4983 3669
