id bug degree concurrent
8009 0 0 0
8006 0 0 0
7986 0 0 0
7984 0 0 0
7955 0 1 0
7953 0 3 1
7952 0 0 0
7951 0 2 1
7950 0 1 0
7949 0 0 0
7948 0 1 0
7939 0 3 1
7938 0 1 0
7930 0 0 0
7916 1 3 1
7911 0 1 0
7907 0 1 0
7906 0 1 0
7905 0 2 1
7886 0 3 1
7872 0 2 1
7865 0 2 1
7864 0 2 1
7863 0 4 1
7862 0 1 0
7859 0 1 0
7858 0 4 1
7857 0 7 1
7855 0 3 1
7840 0 2 1
7830 0 4 1
7827 0 1 0
7822 0 2 1
7814 0 3 1
7811 0 3 1
7807 0 5 1
7806 0 3 1
7797 1 2 1
7792 0 1 0
7786 0 2 1
7785 0 2 1
7784 0 2 1
7782 0 4 1
7777 0 4 1
7776 1 2 1
7766 0 3 1
7762 0 3 1
7759 0 6 1
7758 0 4 1
7753 0 4 1
7750 0 5 1
7747 0 2 1
7744 0 1 0
7743 0 2 1
7741 1 3 1
7740 0 2 1
7733 0 3 1
7728 0 1 0
7716 0 0 0
7713 0 3 1
7712 0 4 1
7709 0 6 1
7705 0 2 1
7697 0 4 1
7695 0 6 1
7689 0 2 1
7687 0 2 1
7686 0 1 0
7685 0 5 1
7682 1 3 1
7678 0 4 1
7674 0 4 1
7657 0 1 0
7655 0 7 1
7653 0 3 1
7652 0 2 1
7633 0 2 1
7631 1 2 1
7630 0 6 1
7627 0 3 1
7625 0 5 1
7624 0 1 0
7617 0 3 1
7615 0 3 1
7606 0 2 1
7603 0 5 1
7601 0 4 1
7599 1 8 1
7591 0 1 0
7588 0 3 1
7587 1 2 1
7581 0 5 1
7580 0 4 1
7573 0 1 0
7571 0 3 1
7568 0 5 1
7566 0 2 1
7564 0 5 1
7563 0 1 0
7562 0 4 1
7561 0 1 0
7557 0 1 0
7556 0 4 1
7553 0 3 1
7551 1 1 0
7550 0 3 1
7549 0 4 1
7543 0 5 1
7540 0 4 1
7531 0 7 1
7527 0 1 0
7523 0 7 1
7518 1 5 1
7501 0 4 1
7491 0 3 1
7489 0 6 1
7488 0 4 1
7487 0 4 1
7486 0 1 0
7483 0 3 1
7481 0 5 1
7475 0 2 1
7472 0 2 1
7470 0 4 1
7469 1 4 1
7466 0 6 1
7463 0 3 1
7457 0 2 1
7452 0 1 0
7440 0 0 0
7435 0 5 1
7430 0 1 0
7423 0 2 1
7415 0 6 1
7414 0 2 1
7413 0 4 1
7412 0 2 1
7409 0 2 1
7402 0 2 1
7388 0 2 1
7380 0 3 1
7378 0 3 1
7375 0 1 0
7370 0 2 1
7369 1 6 1
7368 0 1 0
7367 0 1 0
7365 1 4 1
7357 0 2 1
7355 1 4 1
7353 0 5 1
7352 0 2 1
7351 0 5 1
7348 0 2 1
7343 0 2 1
7341 0 3 1
7337 0 4 1
7335 0 4 1
7320 0 3 1
7318 0 3 1
7316 0 1 0
7314 0 3 1
7307 0 3 1
7306 0 4 1
7305 0 5 1
7302 0 3 1
7301 0 1 0
7294 0 2 1
7285 0 3 1
7283 0 2 1
7275 0 7 1
7270 0 4 1
7265 1 2 1
7261 1 3 1
7260 0 4 1
7256 0 3 1
7255 0 4 1
7254 0 2 1
7251 0 5 1
7248 0 2 1
7237 0 1 0
7235 1 2 1
7234 0 4 1
7233 0 3 1
7232 0 2 1
7231 0 1 0
7228 0 4 1
7225 1 5 1
7224 0 5 1
7213 0 1 0
7211 0 3 1
7205 0 2 1
7200 0 1 0
7194 0 3 1
7187 0 4 1
7181 0 5 1
7180 0 6 1
7175 1 6 1
7174 1 2 1
7173 0 5 1
7170 1 3 1
7169 1 4 1
7165 1 6 1
7163 0 4 1
7155 0 2 1
7154 0 3 1
7149 0 6 1
7145 1 4 1
7136 1 3 1
7133 0 3 1
7130 0 2 1
7129 1 5 1
7126 0 4 1
7117 1 1 0
7113 1 4 1
7110 0 0 0
7107 1 2 1
7105 0 5 1
7103 0 1 0
7101 0 4 1
7099 0 1 0
7093 0 4 1
7090 0 3 1
7088 0 2 1
7087 0 7 1
7083 0 4 1
7081 0 3 1
7080 0 1 0
7075 0 2 1
7073 0 4 1
7068 1 5 1
7051 0 1 0
7050 1 2 1
7047 1 4 1
7045 0 2 1
7044 0 1 0
7042 1 2 1
7038 0 4 1
7025 0 2 1
7019 1 5 1
7018 0 2 1
7012 0 6 1
7011 1 3 1
7006 0 5 1
7003 0 6 1
6998 1 6 1
6997 0 3 1
6991 0 3 1
6983 0 3 1
6981 0 2 1
6979 0 2 1
6973 1 3 1
6965 0 6 1
6961 0 3 1
6958 0 4 1
6954 0 7 1
6945 1 4 1
6942 0 4 1
6938 1 2 1
6934 0 6 1
6933 0 6 1
6932 0 5 1
6930 0 4 1
6923 1 2 1
6921 0 3 1
6915 1 4 1
6902 0 1 0
6884 0 2 1
6882 0 7 1
6873 0 3 1
6867 0 3 1
6852 0 4 1
6848 0 3 1
6845 0 1 0
6839 0 5 1
6832 1 1 0
6831 0 7 1
6828 0 7 1
6823 1 2 1
6811 0 1 0
6809 1 2 1
6808 0 5 1
6802 1 1 0
6801 0 1 0
6800 1 3 1
6791 1 4 1
6790 0 5 1
6787 0 1 0
6783 0 4 1
6777 0 5 1
6769 0 5 1
6764 1 5 1
6757 0 1 0
6753 0 3 1
6741 0 5 1
6740 0 1 0
6739 0 3 1
6738 0 3 1
6730 0 3 1
6727 0 2 1
6724 1 5 1
6721 0 4 1
6717 0 8 1
6715 0 5 1
6714 0 3 1
6708 0 5 1
6700 0 5 1
6697 0 4 1
6670 1 4 1
6668 0 2 1
6664 0 2 1
6652 1 3 1
6651 0 4 1
6649 0 6 1
6646 0 1 0
6643 0 4 1
6634 0 5 1
6632 0 2 1
6620 1 1 0
6614 0 3 1
6613 0 4 1
6602 0 7 1
6601 0 2 1
6599 0 1 0
6596 0 4 1
6594 0 2 1
6591 0 4 1
6590 0 1 0
6586 1 4 1
6581 1 3 1
6577 0 2 1
6576 1 4 1
6574 0 4 1
6569 1 3 1
6567 1 9 1
6565 1 11 1
6550 0 4 1
6549 0 8 1
6548 1 2 1
6531 1 4 1
6527 0 4 1
6525 0 1 0
6508 0 5 1
6507 0 1 0
6505 1 1 0
6504 0 3 1
6498 0 3 1
6497 0 5 1
6485 0 3 1
6481 1 4 1
6480 1 2 1
6473 0 4 1
6469 1 3 1
6464 0 2 1
6460 1 5 1
6459 1 3 1
6454 1 3 1
6443 1 5 1
6435 0 6 1
6432 1 2 1
6418 0 7 1
6413 0 3 1
6412 0 2 1
6411 0 1 0
6409 0 4 1
6407 0 7 1
6400 0 1 0
6398 0 5 1
6394 0 6 1
6392 0 4 1
6389 0 5 1
6387 0 3 1
6386 0 5 1
6357 1 4 1
6349 1 3 1
6346 0 6 1
6334 1 4 1
6331 1 4 1
6330 1 3 1
6320 0 3 1
6317 1 6 1
6315 0 1 0
6307 1 5 1
6294 0 3 1
6292 0 5 1
6290 1 7 1
6286 0 2 1
6285 0 3 1
6284 1 2 1
6282 0 3 1
6280 0 6 1
6279 0 2 1
6278 1 4 1
6254 1 2 1
6249 0 7 1
6235 1 1 0
6234 0 5 1
6233 0 2 1
6229 0 5 1
6223 1 5 1
6222 0 4 1
6206 1 3 1
6205 0 2 1
6198 0 4 1
6196 1 3 1
6190 0 2 1
6180 1 5 1
6178 1 4 1
6174 0 2 1
6169 0 3 1
6166 0 5 1
6150 1 1 0
6149 1 2 1
6147 1 4 1
6146 0 8 1
6138 0 1 0
6134 0 5 1
6129 1 2 1
6125 0 4 1
6124 0 5 1
6112 0 2 1
6102 0 4 1
6093 1 5 1
6088 1 6 1
6086 0 5 1
6084 0 2 1
6080 0 2 1
6076 0 1 0
6074 1 8 1
6069 1 2 1
6047 0 3 1
6042 0 3 1
6035 0 4 1
6025 0 5 1
6019 0 3 1
6018 0 2 1
6017 0 6 1
6015 0 2 1
6000 1 5 1
5997 0 2 1
5996 0 2 1
5982 1 6 1
5979 0 5 1
5968 0 1 0
5949 0 8 1
5944 1 4 1
5942 0 4 1
5940 0 4 1
5938 0 6 1
5931 1 3 1
5914 0 7 1
5908 1 8 1
5904 1 1 0
5899 1 2 1
5898 0 4 1
5897 0 3 1
5893 0 2 1
5892 0 3 1
5883 0 2 1
5881 0 4 1
5876 0 2 1
5874 0 5 1
5873 0 2 1
5872 1 4 1
5869 0 4 1
5862 0 3 1
5859 1 3 1
5858 0 6 1
5853 0 2 1
5845 0 4 1
5834 1 0 0
5817 1 5 1
5805 1 3 1
5802 1 4 1
5799 1 2 1
5792 1 4 1
5791 1 6 1
5790 0 2 1
5786 0 5 1
5780 0 5 1
5779 1 6 1
5777 0 3 1
5770 1 4 1
5758 0 2 1
5755 1 3 1
5753 0 4 1
5746 0 3 1
5740 0 1 0
5735 0 2 1
5731 0 4 1
5725 0 3 1
5719 0 2 1
5714 1 0 0
5682 0 5 1
5680 0 2 1
5668 0 1 0
5667 0 0 0
5666 0 4 1
5665 0 4 1
5660 1 8 1
5652 0 2 1
5651 0 7 1
5637 1 1 0
5634 0 1 0
5627 0 1 0
5624 0 2 1
5590 1 0 0
5581 0 1 0
5575 0 4 1
5570 0 3 1
5567 0 2 1
5563 0 2 1
5557 0 0 0
5551 0 5 1
5550 0 2 1
5549 0 3 1
5548 0 6 1
5538 0 5 1
5535 1 3 1
5528 0 5 1
5527 0 3 1
5526 0 5 1
5517 1 2 1
5514 0 4 1
5513 1 3 1
5489 0 4 1
5478 0 5 1
5477 0 8 1
5474 1 4 1
5469 1 4 1
5465 0 5 1
5459 0 3 1
5454 0 5 1
5451 1 4 1
5447 0 3 1
5444 0 5 1
5443 0 4 1
5436 0 2 1
5414 0 6 1
5412 1 3 1
5410 0 5 1
5406 0 9 1
5403 0 4 1
5397 0 3 1
5387 0 6 1
5381 1 3 1
5376 0 3 1
5374 1 3 1
5369 1 4 1
5368 0 6 1
5359 0 4 1
5351 1 4 1
5347 1 4 1
5333 0 2 1
5330 1 8 1
5321 0 5 1
5319 0 3 1
5311 0 1 0
5309 0 4 1
5285 0 2 1
5281 0 3 1
5278 1 1 0
5271 1 2 1
5270 0 6 1
5267 0 4 1
5253 0 5 1
5250 0 6 1
5249 0 6 1
5236 1 3 1
5235 0 6 1
5211 0 4 1
5208 0 2 1
5206 0 2 1
5200 0 9 1
5190 0 3 1
5186 0 4 1
5182 1 3 1
5180 1 3 1
5179 0 2 1
5177 0 2 1
5173 0 3 1
5158 0 2 1
5157 1 6 1
5156 0 2 1
5140 0 0 0
5138 0 1 0
5135 1 2 1
5132 0 2 1
5127 0 4 1
5124 0 4 1
5117 0 1 0
5114 0 7 1
5112 0 1 0
5111 0 6 1
5107 0 3 1
5106 0 4 1
5101 0 7 1
5092 0 3 1
5087 0 4 1
5083 0 4 1
5079 1 6 1
5072 0 7 1
5051 1 3 1
5040 1 1 0
5038 0 3 1
